candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mae,avg_mape,weighted_avg_mape,scenario_weight_total,scenarios_covered,folds_evaluated
ratio_all_flex_wide_rw1.25_cw1.30,all,flex,wide,1.25,1.3,145560.3488750278,6.254733388008897,160685.82707538203,7.293990080547321,153123.08797520492,6.774361734278108,7.898028490625875,1.0,4,8
ratio_all_base_business_rw1.35_cw1.10,all,base,business,1.35,1.1,151072.3224363536,6.34385825678167,163376.8660759549,7.345420310346513,157224.59425615426,6.844639283564091,7.905466872559514,1.0,4,8
ratio_all_base_wide_rw1.35_cw1.10,all,base,wide,1.35,1.1,151072.3224363536,6.34385825678167,163376.8660759549,7.345420310346513,157224.59425615426,6.844639283564091,7.905466872559514,1.0,4,8
ratio_all_flex_business_rw1.35_cw1.20,all,flex,business,1.35,1.2,151072.3224363536,6.34385825678167,161045.3467029936,7.282147944179679,156058.83456967358,6.813003100480675,7.907022095795555,1.0,4,8
ratio_all_flex_wide_rw1.35_cw1.20,all,flex,wide,1.35,1.2,151072.3224363536,6.34385825678167,161045.3467029936,7.282147944179679,156058.83456967358,6.813003100480675,7.907022095795555,1.0,4,8
ratio_all_flex_business_rw1.25_cw0.95,all,flex,business,1.25,0.95,145560.3488750278,6.254733388008897,158230.01045788685,7.247256394773693,151895.17966645732,6.750994891391295,7.907082845318054,1.0,4,8
ratio_all_flex_wide_rw1.25_cw0.95,all,flex,wide,1.25,0.95,145560.3488750278,6.254733388008897,158230.01045788685,7.247256394773693,151895.17966645732,6.750994891391295,7.907082845318054,1.0,4,8
ratio_all_flex_business_rw1.35_cw1.15,all,flex,business,1.35,1.15,151072.3224363536,6.34385825678167,161047.3651857092,7.2881436479691715,156059.8438110314,6.81600095237542,7.908561475523244,1.0,4,8
ratio_all_flex_wide_rw1.35_cw1.15,all,flex,wide,1.35,1.15,151072.3224363536,6.34385825678167,161047.3651857092,7.2881436479691715,156059.8438110314,6.81600095237542,7.908561475523244,1.0,4,8
ratio_all_flex_business_rw1.35_cw1.25,all,flex,business,1.35,1.25,151072.3224363536,6.34385825678167,161844.67506829597,7.304991656289912,156458.49875232478,6.8244249565357915,7.913033621266412,1.0,4,8
ratio_all_flex_wide_rw1.35_cw1.25,all,flex,wide,1.35,1.25,151072.3224363536,6.34385825678167,161844.67506829597,7.304991656289912,156458.49875232478,6.8244249565357915,7.913033621266412,1.0,4,8
ratio_all_flex_business_rw1.35_cw1.10,all,flex,business,1.35,1.1,151072.3224363536,6.34385825678167,161917.01337836144,7.316256334767617,156494.66790735754,6.830057295774644,7.916906300742468,1.0,4,8
ratio_all_flex_wide_rw1.35_cw1.10,all,flex,wide,1.35,1.1,151072.3224363536,6.34385825678167,161917.01337836144,7.316256334767617,156494.66790735754,6.830057295774644,7.916906300742468,1.0,4,8
ratio_all_base_mid_rw1.30_cw1.20,all,base,mid,1.3,1.2,146680.28370565793,6.255439574885558,162190.02573996768,7.314532771611136,154435.1547228128,6.784986173248347,7.922732261171641,1.0,4,8
ratio_all_base_mid_rw1.30_cw1.15,all,base,mid,1.3,1.15,146680.28370565793,6.255439574885558,162164.57403308002,7.321132047626783,154422.42886936897,6.78828581125617,7.923223203999585,1.0,4,8
ratio_all_base_business_rw1.35_cw1.05,all,base,business,1.35,1.05,151072.3224363536,6.34385825678167,165252.78642084543,7.40561320459866,158162.5544285995,6.874735730690165,7.924083736894676,1.0,4,8
ratio_all_base_wide_rw1.35_cw1.05,all,base,wide,1.35,1.05,151072.3224363536,6.34385825678167,165252.78642084543,7.40561320459866,158162.5544285995,6.874735730690165,7.924083736894676,1.0,4,8
ratio_all_flex_business_rw1.35_cw1.30,all,flex,business,1.35,1.3,151072.3224363536,6.34385825678167,163333.80590781406,7.350957941556819,157203.06417208383,6.847408099169245,7.924745335233275,1.0,4,8
ratio_all_flex_wide_rw1.35_cw1.30,all,flex,wide,1.35,1.3,151072.3224363536,6.34385825678167,163333.80590781406,7.350957941556819,157203.06417208383,6.847408099169245,7.924745335233275,1.0,4,8
ratio_all_base_mid_rw1.30_cw1.25,all,base,mid,1.3,1.25,146680.28370565793,6.255439574885558,162965.49523185182,7.330665565553144,154822.88946875487,6.79305257021935,7.928021338346555,1.0,4,8
ratio_all_base_mid_rw1.30_cw1.10,all,base,mid,1.3,1.1,146680.28370565793,6.255439574885558,163154.57041463075,7.352291644337711,154917.42706014434,6.803865609611635,7.930182055422479,1.0,4,8
ratio_all_flex_business_rw1.35_cw1.05,all,flex,business,1.35,1.05,151072.3224363536,6.34385825678167,163508.5933589252,7.364856854778721,157290.45789763943,6.8543575557801955,7.932720873939186,1.0,4,8
