scenario,fold,valid_days,scenario_weight,valid_start,valid_end,candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mape,avg_mae
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.55_cw1.15,no_web,conservative,business,1.55,1.15,153896.70322222225,5.261777354182028,266097.1427777778,8.771187506891678,7.016482430536853,209996.923
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.55_cw1.20,no_web,conservative,business,1.55,1.2,153896.70322222225,5.261777354182028,260843.98711111114,8.615567214358409,6.938672284270218,207370.3451666667
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.55_cw1.25,no_web,conservative,business,1.55,1.25,153896.70322222225,5.261777354182028,255590.854,8.45994762360305,6.860862488892539,204743.7786111111
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.55_cw1.30,no_web,conservative,business,1.55,1.3,153896.70322222225,5.261777354182028,250337.71466666664,8.304327828881705,6.783052591531867,202117.20894444443
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.15_cw0.95,no_web,conservative,mid,1.15,0.95,177686.04800000004,5.655259459786994,197012.16044444442,7.124582378978299,6.3899209193826465,187349.10422222223
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.15_cw1.00,no_web,conservative,mid,1.15,1.0,177686.04800000004,5.655259459786994,192793.31144444447,6.989832641656954,6.322546050721974,185239.67972222227
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.15_cw1.05,no_web,conservative,mid,1.15,1.05,177686.04800000004,5.655259459786994,188795.476,6.862721983203711,6.258990721495353,183240.76200000002
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.15_cw1.10,no_web,conservative,mid,1.15,1.1,177686.04800000004,5.655259459786994,184797.6324444445,6.735611097730199,6.1954352787585965,181241.84022222226
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.15_cw1.15,no_web,conservative,mid,1.15,1.15,177686.04800000004,5.655259459786994,180966.38900000002,6.6167584752339,6.136008967510447,179326.21850000002
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.15_cw1.20,no_web,conservative,mid,1.15,1.2,177686.04800000004,5.655259459786994,177161.57766666668,6.499216362955665,6.07723791137133,177423.81283333336
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.15_cw1.25,no_web,conservative,mid,1.15,1.25,177686.04800000004,5.655259459786994,173356.7828888889,6.381674759254094,6.018467109520544,175521.41544444446
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.15_cw1.30,no_web,conservative,mid,1.15,1.3,177686.04800000004,5.655259459786994,169551.98411111112,6.264133028217871,5.959696244002433,173619.01605555558
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.20_cw0.95,no_web,conservative,mid,1.2,0.95,160242.46077777783,5.175228453881073,200973.26377777784,7.162208013383893,6.168718233632482,180607.86227777784
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.20_cw1.00,no_web,conservative,mid,1.2,1.0,160242.46077777783,5.175228453881073,196444.10922222224,7.0173559148804365,6.096292184380754,178343.28500000003
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.20_cw1.05,no_web,conservative,mid,1.2,1.05,160242.46077777783,5.175228453881073,191914.96433333337,6.872504115346379,6.023866284613726,176078.7125555556
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.20_cw1.10,no_web,conservative,mid,1.2,1.1,160242.46077777783,5.175228453881073,187385.8085555556,6.72765196569564,5.951440209788356,173814.1346666667
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.20_cw1.15,no_web,conservative,mid,1.2,1.15,160242.46077777783,5.175228453881073,182952.85500000004,6.586825921408325,5.881027187644699,171597.65788888893
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.20_cw1.20,no_web,conservative,mid,1.2,1.2,160242.46077777783,5.175228453881073,178863.82544444446,6.461138413264803,5.818183433572938,169553.14311111113
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.20_cw1.25,no_web,conservative,mid,1.2,1.25,160242.46077777783,5.175228453881073,174904.74622222222,6.3406176360558355,5.757923044968454,167573.60350000003
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.20_cw1.30,no_web,conservative,mid,1.2,1.3,160242.46077777783,5.175228453881073,171191.1608888889,6.230230745703536,5.702729599792304,165716.81083333335
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.25_cw0.95,no_web,conservative,mid,1.25,0.95,147647.80022222223,4.830249173033234,206412.51266666668,7.2410597292765875,6.035654451154911,177030.15644444444
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.25_cw1.00,no_web,conservative,mid,1.25,1.0,147647.80022222223,4.830249173033234,201814.0065555555,7.095847544541073,5.9630483587871534,174730.90338888887
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.25_cw1.05,no_web,conservative,mid,1.25,1.05,147647.80022222223,4.830249173033234,197215.51033333343,6.950635692564877,5.890442432799055,172431.6552777778
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.25_cw1.10,no_web,conservative,mid,1.25,1.1,147647.80022222223,4.830249173033234,192617.0032222223,6.805423495774708,5.817836334403971,170132.40172222228
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.25_cw1.15,no_web,conservative,mid,1.25,1.15,147647.80022222223,4.830249173033234,188072.7595555555,6.663058955090858,5.746654064062046,167860.27988888888
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.25_cw1.20,no_web,conservative,mid,1.25,1.2,147647.80022222223,4.830249173033234,183743.86044444444,6.531757617624781,5.681003395329007,165695.83033333335
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.25_cw1.25,no_web,conservative,mid,1.25,1.25,147647.80022222223,4.830249173033234,179527.1736666667,6.406018379949022,5.618133776491128,163587.48694444448
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.25_cw1.30,no_web,conservative,mid,1.25,1.3,147647.80022222223,4.830249173033234,175352.35322222224,6.2819039273909025,5.556076550212069,161500.07672222223
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.30_cw0.95,no_web,conservative,mid,1.3,0.95,141211.8423333334,4.662018788237728,214773.75622222226,7.410782730872606,6.036400759555168,177992.79927777784
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.30_cw1.00,no_web,conservative,mid,1.3,1.0,141211.8423333334,4.662018788237728,210018.80899999998,7.261161682689394,5.961590235463561,175615.32566666667
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.30_cw1.05,no_web,conservative,mid,1.3,1.05,141211.8423333334,4.662018788237728,205349.62988888894,7.115448011349122,5.888733399793425,173280.73611111118
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.30_cw1.10,no_web,conservative,mid,1.3,1.1,141211.8423333334,4.662018788237728,200849.64622222228,6.977804290795524,5.819911539516626,171030.74427777785
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_mid_rw1.30_cw1.15,no_web,conservative,mid,1.3,1.15,141211.8423333334,4.662018788237728,196358.49633333334,6.8404346705087145,5.751226729373221,168785.16933333338
