iter	Passed	Remaining
946	2835	6147
947	2839	6145
948	2842	6143
949	2845	6141
950	2849	6138
951	2852	6136
952	2856	6135
953	2858	6130
954	2861	6127
955	2864	6124
956	2868	6123
957	2871	6119
958	2874	6118
959	2877	6115
960	2881	6113
961	2884	6111
962	2888	6110
963	2891	6107
964	2895	6105
965	2897	6101
966	2901	6099
967	2903	6094
968	2906	6092
969	2909	6088
970	2912	6086
971	2914	6081
972	2917	6077
973	2920	6074
974	2923	6072
975	2926	6069
976	2930	6067
977	2933	6065
978	2937	6064
979	2941	6062
980	2944	6059
981	2947	6057
982	2951	6055
983	2954	6052
984	2957	6050
985	2960	6046
986	2962	6042
987	2966	6040
988	2970	6039
989	2972	6035
990	2976	6033
991	2979	6030
992	2981	6026
993	2983	6021
994	2986	6017
995	2988	6013
996	2991	6010
997	2994	6007
998	2997	6004
999	3000	6001
1000	3003	5998
1001	3007	5996
1002	3010	5993
1003	3013	5991
1004	3017	5989
1005	3020	5987
1006	3023	5984
1007	3026	5981
1008	3030	5979
1009	3033	5976
1010	3036	5974
1011	3039	5971
1012	3042	5968
1013	3045	5964
1014	3049	5963
1015	3052	5959
1016	3055	5957
1017	3058	5953
1018	3061	5951
1019	3064	5948
1020	3068	5946
1021	3071	5943
1022	3074	5940
1023	3077	5937
1024	3080	5935
1025	3082	5930
1026	3086	5929
1027	3088	5924
1028	3092	5923
1029	3095	5921
1030	3098	5918
1031	3101	5915
1032	3105	5913
1033	3108	5911
1034	3112	5909
1035	3115	5906
1036	3119	5904
1037	3122	5902
1038	3126	5900
1039	3129	5897
1040	3133	5895
1041	3136	5893
1042	3139	5889
1043	3142	5887
1044	3145	5885
1045	3148	5881
1046	3150	5877
1047	3153	5874
1048	3157	5872
1049	3160	5869
1050	3163	5866
1051	3165	5861
1052	3168	5858
1053	3171	5856
1054	3175	5854
1055	3177	5850
1056	3180	5846
1057	3183	5842
1058	3186	5839
1059	3188	5836
1060	3191	5833
1061	3193	5827
1062	3196	5825
1063	3199	5820
1064	3202	5818
1065	3205	5815
1066	3207	5811
1067	3211	5809
1068	3214	5807
1069	3217	5802
